doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
tvu-course-registration,data/academic_regulations/tvu-course-registration.md,Đăng ký và rút học phần tại Trường Y Dược - Đại học Trà Vinh,https://cmp.tvu.edu.vn/so-tay-sinh-vien/,2026-09-19,Sổ tay sinh viên 2026; nội dung trực tuyến có thể cập nhật,public-source
tvu-academic-warning,data/academic_regulations/tvu-academic-warning.md,Cảnh báo học vụ và buộc thôi học tại Trường Y Dược - Đại học Trà Vinh,https://cmp.tvu.edu.vn/so-tay-sinh-vien/,2026-09-19,Sổ tay sinh viên 2026; nội dung trực tuyến có thể cập nhật,public-source
tvu-grade-appeal,data/academic_regulations/tvu-grade-appeal.md,Phúc khảo và điều chỉnh điểm tại Trường Y Dược - Đại học Trà Vinh,https://cmp.tvu.edu.vn/so-tay-sinh-vien/,2026-09-19,Sổ tay sinh viên 2026; nội dung trực tuyến có thể cập nhật,public-source
qtu-academic-affairs-overview,data/academic_regulations/qtu-academic-affairs-overview.md,Phạm vi Quy định công tác học vụ của Trường Đại học Quang Trung,https://qtu.edu.vn/qd-95-ban-hanh-quy-dinh-ve-cong-tac-hoc-vu-tai-truong-dai-hoc-quang-trung/,2026-09-19,95/QĐ-ĐHQT ngày 24/06/2021,public-source
tdmu-grade-appeal,data/academic_regulations/tdmu-grade-appeal.md,Quy trình phúc khảo bài kiểm tra tại Trường Đại học Thủ Dầu Một,https://tdmu.edu.vn/hinh/thuvien/taptin/2-6-2025-4-42-24-pm06-BKTKDDBCL-QT.09-Phuc%20khao%20Bai%20KTr.pdf,2026-09-19,QT/BKTKĐ&ĐBCL/09; ban hành lần 01; ngày hiệu lực không nêu,public-source
tdmu-grade-appeal-operations,data/academic_regulations/tdmu-grade-appeal-operations.md,Vận hành chấm phúc khảo tại Trường Đại học Thủ Dầu Một,https://tdmu.edu.vn/hinh/thuvien/taptin/2-6-2025-4-42-24-pm06-BKTKDDBCL-QT.09-Phuc%20khao%20Bai%20KTr.pdf,2026-09-19,QT/BKTKĐ&ĐBCL/09; ban hành lần 01; ngày hiệu lực không nêu,public-source
tnut-advanced-registration,data/academic_regulations/tnut-advanced-registration.md,Đăng ký học phần chương trình tiên tiến tại TNUT,https://fit.tnut.edu.vn/bai-viet/quy-che-dao-tao-trinh-do-dai-hoc-cho-chuong-trinh-tien-tien-nam-2022-176,2026-09-19,3571/QĐ-ĐHKTCN ngày 14/12/2022,public-source
tnut-advanced-withdrawal-assessment,data/academic_regulations/tnut-advanced-withdrawal-assessment.md,Rút học phần và đánh giá chương trình tiên tiến tại TNUT,https://fit.tnut.edu.vn/bai-viet/quy-che-dao-tao-trinh-do-dai-hoc-cho-chuong-trinh-tien-tien-nam-2022-176,2026-09-19,3571/QĐ-ĐHKTCN ngày 14/12/2022,public-source
ufm-course-registration,data/academic_regulations/ufm-course-registration.md,Tổ chức đăng ký học tập tại Đại học Tài chính - Marketing,https://pdt.ufm.edu.vn/dulieu/quiche/1329_Quy_che_dao_tao_tin_chi_tu_khoa_2021.htm,2026-09-19,1329/QĐ-ĐHTCM ngày 16/07/2021,public-source
ufm-assessment,data/academic_regulations/ufm-assessment.md,Đánh giá và tính điểm học phần tại Đại học Tài chính - Marketing,https://pdt.ufm.edu.vn/dulieu/quiche/1329_Quy_che_dao_tao_tin_chi_tu_khoa_2021.htm,2026-09-19,1329/QĐ-ĐHTCM ngày 16/07/2021,public-source
