url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://cmp.tvu.edu.vn/so-tay-sinh-vien/,tvu-course-registration,Đăng ký và rút học phần tại Trường Y Dược - Đại học Trà Vinh,student,academic-affairs,registration,vi,Sổ tay sinh viên 2026; nội dung trực tuyến có thể cập nhật,public-source
https://cmp.tvu.edu.vn/so-tay-sinh-vien/,tvu-academic-warning,Cảnh báo học vụ và buộc thôi học tại Trường Y Dược - Đại học Trà Vinh,student,academic-affairs,academic-warning,vi,Sổ tay sinh viên 2026; nội dung trực tuyến có thể cập nhật,public-source
https://cmp.tvu.edu.vn/so-tay-sinh-vien/,tvu-grade-appeal,Phúc khảo và điều chỉnh điểm tại Trường Y Dược - Đại học Trà Vinh,student,examination-affairs,grade-appeal,vi,Sổ tay sinh viên 2026; nội dung trực tuyến có thể cập nhật,public-source
https://qtu.edu.vn/qd-95-ban-hanh-quy-dinh-ve-cong-tac-hoc-vu-tai-truong-dai-hoc-quang-trung/,qtu-academic-affairs-overview,Phạm vi Quy định công tác học vụ của Trường Đại học Quang Trung,all,academic-affairs,academic-policy,vi,95/QĐ-ĐHQT ngày 24/06/2021,public-source
https://tdmu.edu.vn/hinh/thuvien/taptin/2-6-2025-4-42-24-pm06-BKTKDDBCL-QT.09-Phuc%20khao%20Bai%20KTr.pdf,tdmu-grade-appeal,Quy trình phúc khảo bài kiểm tra tại Trường Đại học Thủ Dầu Một,student,examination-quality-assurance,grade-appeal,vi,QT/BKTKĐ&ĐBCL/09; ban hành lần 01; ngày hiệu lực không nêu,public-source
https://tdmu.edu.vn/hinh/thuvien/taptin/2-6-2025-4-42-24-pm06-BKTKDDBCL-QT.09-Phuc%20khao%20Bai%20KTr.pdf,tdmu-grade-appeal-operations,Vận hành chấm phúc khảo tại Trường Đại học Thủ Dầu Một,staff,examination-quality-assurance,grade-appeal,vi,QT/BKTKĐ&ĐBCL/09; ban hành lần 01; ngày hiệu lực không nêu,public-source
https://fit.tnut.edu.vn/bai-viet/quy-che-dao-tao-trinh-do-dai-hoc-cho-chuong-trinh-tien-tien-nam-2022-176,tnut-advanced-registration,Đăng ký học phần chương trình tiên tiến tại TNUT,student,academic-affairs,registration,vi,3571/QĐ-ĐHKTCN ngày 14/12/2022,public-source
https://fit.tnut.edu.vn/bai-viet/quy-che-dao-tao-trinh-do-dai-hoc-cho-chuong-trinh-tien-tien-nam-2022-176,tnut-advanced-withdrawal-assessment,Rút học phần và đánh giá chương trình tiên tiến tại TNUT,student,academic-affairs,withdrawal-and-assessment,vi,3571/QĐ-ĐHKTCN ngày 14/12/2022,public-source
https://pdt.ufm.edu.vn/dulieu/quiche/1329_Quy_che_dao_tao_tin_chi_tu_khoa_2021.htm,ufm-course-registration,Tổ chức đăng ký học tập tại Đại học Tài chính - Marketing,student,academic-affairs,registration,vi,1329/QĐ-ĐHTCM ngày 16/07/2021,public-source
https://pdt.ufm.edu.vn/dulieu/quiche/1329_Quy_che_dao_tao_tin_chi_tu_khoa_2021.htm,ufm-assessment,Đánh giá và tính điểm học phần tại Đại học Tài chính - Marketing,student,academic-affairs,assessment,vi,1329/QĐ-ĐHTCM ngày 16/07/2021,public-source
